,name,type,url_pics
22,Masa Madre,Italian,"['https://media-cdn.tripadvisor.com/media/photo-s/1d/82/63/aa/capricciosa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/63/d7/caprese.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/64/61/contadina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/64/23/profumata.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/62/a1/marinara.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/63/f3/reina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/63/40/napoletana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/65/1c/vegetariana.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1d/82/64/e3/zuccona-estiva-zuccona.jpg']"
23,Flor de Valencia,Seafood,"['https://media-cdn.tripadvisor.com/media/photo-f/11/39/cf/54/flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/81/c2/0c/rte-flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/94/7b/9e/flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/37/87/77/flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/39/cf/bd/flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/27/5b/47/rte-flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/27/5b/3c/rte-flor-de-valencia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/c2/f2/28/flor-de-valencia.jpg']"
24,La Terrazza,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/19/a0/31/74/semi-fredo-pruebalo-el.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/1e/89/91/finger-de-merluza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/a0/31/5a/panzerotti-al-tartufo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/53/b7/35/spaghetti-allo-scoglio.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/53/b2/c8/barrata-con-serrano-la.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/1e/88/f3/baccalla-alla-salentina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/a0/31/7f/spaguetti-a-la-carbonara.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/97/1a/46/sardine-affumicate-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/a0/31/93/tagliata-de-ternera-al.jpg']"
25,"Infraganti, con las manos en la masa",Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/12/c2/11/28/tarta-de-queso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/4e/9c/2b/pizzas-artesanas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/4e/9c/48/masa-de-carbon-vegetal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/9e/49/7f/pizza-de-espelta-pizza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/be/04/26/mercat-central.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/9e/49/9b/pizzas-artesanas-de-diferentes.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/c2/11/03/focaccia-de-carbon-vegetal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/e9/df/ef/lasagna-artesana-de-berenjenas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/c2/10/df/lasana-al-pesto-genoves.jpg']"
26,Regla De Dos,Italian,['https://media-cdn.tripadvisor.com/media/photo-f/25/a9/77/1d/risotto-de-marisco.jpg']
27,Viva Napoli,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/a6/d5/83/viva-napoli.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/68/48/ea/20201207-214441-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/71/ec/55/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/18/eb/5b/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/73/53/ea/caption.jpg']"
28,Kawori,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/96/maki-de-salmon-mango.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/7d/ensalada-de-alga-wakame.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/01/94/ac/usuzukuri-de-dorada-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/0e/usuzukuri-de-salmon.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/17/e5/usuzukuri-de-dorada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/23/tartar-de-atun.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/51/hayashi-don.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/61/ensala-de-algas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/8d/hamburguesa-japonesa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/51/hayashi-don.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/61/ensala-de-algas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/c2/18/8d/hamburguesa-japonesa.jpg']"
29,Nozomi Sushi Bar,Japanese,"['https://media-cdn.tripadvisor.com/media/photo-s/1c/1e/d2/1d/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/2f/46/40/usuzukuri-toro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/17/74/2e/nozomi-sushi-bar.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/2d/d6/e2/img-20201006-wa0028-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/30/36/d4/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/46/4a/63/photo3jpg.jpg']"
30,Pizzeria Ris8tto Restaurante,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/06/1c/4b/f6/restaurante-risotto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/32/16/39/tiramisu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/1c/27/7e/restaurante-risotto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/d4/0f/f6/restaurante-risotto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/98/88/ac/pizza-4-stagionni.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/1c/4a/6f/restaurante-risotto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/19/83/03/pizza-regina.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/19/83/bd/paella-de-verduras.jpg']"
31,Le Favole,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/15/5c/18/06/terrazq.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5c/16/34/pizza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5c/17/15/burro-salvia-tartufo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5c/16/87/le-favole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5c/15/31/staff-le-favole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/5c/15/b7/terraza-le-favole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/b0/19/8c/photo0jpg.jpg']"
32,Matiz,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/05/40/fd/2b/matiz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/40/fc/f7/matiz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/40/fd/31/matiz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/40/fd/2e/matiz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/40/fc/f9/matiz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/05/40/fc/cc/matiz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/12/02/f9/75/matiz.jpg']"
33,Toastone,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/0e/9a/88/dc/sandwiches-riquisimos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/9a/88/f1/teraza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/9a/88/e3/aperitivo-italiano-aperol.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c0/67/77/fondue-de-quesos-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/16/53/59/5d/insalata-fatta-con-ingredienti.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c0/65/2d/tostada-pizza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c0/69/6e/croissant-con-salchicha.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/c0/65/35/tostada-con-brie-setas.jpg']"
34,Sol Azteca,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9a/cc/burrito.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9c/38/fajitas-mixtas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9b/75/salsa-y-chiles.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9c/60/guacamole.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9c/3b/fajitas-vegetarianas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9c/1d/ensalada-azteca.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/b2/9c/34/ensalada-calli.jpg']"
35,Burritos - Trafalgar,Mexican,"['https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/67/mini-nachos-el-maximo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/76/burrito-heura-el-mejor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/5a/porky-burrito-para-los.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/85/margarita.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/56/tequenos-de-queso-sabor.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/7f/quesadilla-para-los-amantes.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/21/a0/61/7c/tacos-disfruta-de-nuestros.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/34/9e/55/logo-burritos-mexican.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/34/98/98/burrito-a-la-mitad.jpg']"
36,Brunch Corner - La Virgen,American,"['https://media-cdn.tripadvisor.com/media/photo-f/13/7b/66/02/poppy-seeds-bagel-with.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/b6/9f/e3/inauguracion-brunch-corner.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/7b/67/f7/chips.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/13/7b/67/fc/place.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/7b/67/f5/local.jpg']"
37,Il Vulcano,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/11/fc/ef/1a/plato-carta.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/01/07/8f/antipasto-mixto.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/18/4d/96/atun-rojo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/32/65/79/uno-de-nuestros-risottos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/01/b4/4d/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/3c/0d/6d/il-vulcano-iij.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/2c/55/02/spaghetti-carbonara.jpg']"
38,Tony Roma's,American,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/fa/97/65/hamburguesa-con-patatas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/a8/92/ac/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/01/ad/b8/delicioso-postre.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/1b/40/ea/tony-roma-s.jpg']"
39,Restaurant Secret,Seafood,"['https://media-cdn.tripadvisor.com/media/photo-s/18/01/da/57/croquetas-de-queso-y.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/19/ba/06/f1/pulpo-a-la-llama-grilled.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/5d/b7/7d/entrada.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/48/78/69/sala.jpg']"
40,RUZANUVOL Craft Beer & Food,Italian,"['https://media-cdn.tripadvisor.com/media/photo-f/06/ff/12/76/ruzanuvol.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/04/06/97/a9/ruzanuvol.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/ff/12/87/ruzanuvol.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/ff/12/60/ruzanuvol.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/03/f4/c3/99/ruzanuvol.jpg']"
