,name,type,url_pics
10,11. El Rincon De Pangpang,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0c/35/a7/34/20160724-190155-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/15/86/a7/63/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/0d/38/84/64/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/49/8f/ff/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/7e/34/f1/photo0jpg.jpg']"
11,12. Biang Biang Bar,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/18/57/06/ff/rabano-con-salsa-de-xo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/05/fideo-biangbiang.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/18/mo-cerdo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/1f/fideo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/07/rabano-con-salsa-de-xo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/1a/fideo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/88/ternera.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/57/07/15/fideo-biang-biang.jpg']"
12,13. Chan Street,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/10/f3/2a/2a/you-po-mian-tallarines.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/e8/bc/cf/img-20170408-225106-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/f6/d4/9f/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/95/a9/f5/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/9b/4f/2c/photo1jpg.jpg']"
13,14. Yue Lai,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/03/56/a9/c9/yue-lai.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/16/57/2c/21/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/5a/02/fd/hot-pot-que-llaman-fondue.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/0e/c4/97/0b/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/9a/c2/21/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/5a/02/fc/hot-pot-que-llaman-fondue.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/c0/9a/1c/img-20161125-151028-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/c7/bb/52/hot-pot.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/d2/34/3c/photo0jpg.jpg']"
14,15. MIN 1947,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/9d/26/79/pato-laqueado-al-estilo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/9d/26/87/xintairuan.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/9d/26/77/lengua-de-pato.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/a1/43/c5/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/a1/43/c4/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/a1/43/c6/caption.jpg']"
15,16. Restaurante China Crown Madrid,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1b/ec/4f/87/entrada-al-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/ec/4f/7f/salon-reservado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/ec/4f/81/una-replica-del-famoso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/ec/4f/9c/entrada-al-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/ec/4f/91/salon-de-abajo-posibilidad.jpg', 'https://media-cdn.tripadvisor.com/media/photo-w/1b/ec/4f/99/una-replica-del-famoso.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1b/ec/4f/94/el-cuarto-de-bano-decorado.jpg']"
16,17. Hunan Restaurant,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/17/a5/30/47/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a5/2b/56/interior.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a5/36/eb/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/ef/50/d3/ballesta-4-919193564.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/17/a5/35/97/comida.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/ef/52/e2/ballesta-4-919193564.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/ef/4c/5e/ballesta-4-919193564.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/15/ef/46/3d/ballesta-4-919193564.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/ef/46/dd/ballesta-4-919193564.jpg']"
17,18. Hong Kong Kitchen,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/19/a1/2c/ac/iuno-de-los-top-de-nuestra.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/53/15/1d/iojo-nuestros-deliciosos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/53/14/cd/nuestras-costillas-asadas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/53/14/be/icocinando-al-estilo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/94/04/01/hong-kong-kitchen-madrid.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/18/94/02/a9/un-establecimiento-lleno.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/c5/50/07/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/64/2e/ee/getlstd-property-photo.jpg']"
18,19. Ni Hao Arturo Soria,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/06/a8/74/ba/ni-hao-arturo-soria.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/06/a8/74/bb/ni-hao-arturo-soria.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/13/67/cc/berenjenas-fritas-rellenas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/06/d2/7c/pato-con-bambu-y-setas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/13/67/cf/maguro-crema-uramaki.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/06/d2/63/tallarines-especiales.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/a9/2b/68/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/13/67/ce/arroz-frito-al-curry.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/06/d2/31/sushi-pez-mantequilla.jpg']"
19,20. RESTAURANTE Buen Gusto,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1a/56/76/21/gambas-a-vapor-con-salsa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/51/2a/58/bogavante-al-vapor-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/ca/92/b1/lomo-de-ternera-marinado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/64/cd/a4/panceta-al-salsa-de-especia.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/56/76/20/panceda-marinado-con.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/51/2a/56/fideos-de-taro.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/64/cd/9b/salsa-agridulce-para.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1a/64/cd/9e/pescado-en-salsa-de-soja.jpg']"
20,21. China Te,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/07/9c/93/2d/china-te.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/22/77/e7/catering.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/78/fb/e7/plato2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/07/9c/93/2f/china-te.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/22/77/b5/sushi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/47/42/ae/china-te.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/78/fc/05/plato7.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/22/77/dd/creps.jpg']"
21,22. Kung Fu Bar Restaurante,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0b/31/b4/02/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/9a/ac/56/kungfu-bar-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/9a/ac/58/kungfu-bar-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/9a/ac/55/kungfu-bar-restaurante.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/9a/ac/5a/kungfu-bar-restaurante.jpg']"
22,23. Long Tu,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/19/26/fa/b1/tallarines.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/4e/01/a2/helado-frito-riquisimo.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/4e/01/65/noodles-perfectos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/4e/01/48/crujientes-y-sabrosos.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/4e/01/48/crujientes-y-sabrosos.jpg']"
23,24. Tangchu,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/14/6b/a3/49/restaurante-tang-chu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/6b/a3/69/restaurante-tang-chu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/14/6b/a3/52/restaurante-tang-chu.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/da/a2/48/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/da/a2/47/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/da/a2/46/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/da/a2/45/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/27/da/a2/44/caption.jpg']"
24,25. Wok Garden Azca,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/08/01/e8/4d/buffet2.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/01/e8/4e/salon1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/01/e8/4c/buffet1.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/01/e8/52/buffet3.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/42/8d/26/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/81/14/b6/20160812-214114-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/42/8d/29/photo5jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/81/14/b6/20160812-214114-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/09/42/8d/29/photo5jpg.jpg']"
25,26. Restaurante Dong Feng,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/1a/75/ed/2e/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/75/ed/31/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/75/ed/30/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/75/ed/2d/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/75/ed/32/photo5jpg.jpg']"
26,27. Restaurante xiaoman,Chinese,"['https://media-cdn.tripadvisor.com/media/daodao/photo-s/14/dc/f9/e5/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/13/81/dc/55/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/14/dc/f9/da/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/14/dc/f9/ec/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/e4/05/50/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/a4/e6/b5/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/10/ca/84/f9/caption.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/10/79/19/b8/restaurante-xiaoman.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/10/ca/84/f9/caption.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/10/79/19/b8/restaurante-xiaoman.jpg']"
27,28. Gran Hong Kong,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1c/0b/69/5a/arroz.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0b/69/4e/sushi.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0b/69/52/yakisoba.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/0b/69/39/langostinos-lima.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/08/e2/8a/68/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/a2/5b/e1/img-20190522-215042-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/23/3b/59/tallarines-tai.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/17/a2/5b/e1/img-20190522-215042-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/23/3b/59/tallarines-tai.jpg']"
28,29. Lao Tou,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0d/d8/9f/39/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/71/b5/59/20190909-222546-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/d8/9f/38/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/19/40/fd/46/img-20190913-134035-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/12/0c/de/a1/ancas-de-rana-a-la-sal.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/a1/3e/b7/sopa-de-cabeza-de-merluza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/90/23/b8/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/a1/3e/b7/sopa-de-cabeza-de-merluza.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/15/90/23/b8/photo4jpg.jpg']"
29,30. Ni Hao,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0e/b3/bd/6f/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/73/97/15/ni-hao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/6c/d8/0d/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/73/97/52/ni-hao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/10/0a/ca/1f/ni-hao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0c/73/97/2e/ni-hao.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/a4/c1/02/ni-hao.jpg']"
30,31. Restaurante Oriental Palace,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/11/6a/53/70/restaurante-oriental.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1a/2e/1c/e2/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/28/72/bc/92/restaurante-oriental.jpg']"
31,32. Restaurante Thong,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/0f/b6/aa/91/nice-place-good-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/c7/81/2a/restaurant-decoration.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/b6/aa/a3/nice-place-good-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0f/b6/aa/b2/nice-place-good-food.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/03/c7/81/29/entrance-to-the-restaurant.jpg', 'https://media-cdn.tripadvisor.com/media/photo-o/14/5c/74/d2/cerveza-china-sapporo.jpg']"
32,33. Restaurante Wangwang,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/13/4b/ee/6c/img-20180614-220753-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/15/10/75/55/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-s/15/10/75/53/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/94/06/41/20171223-145748-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/4b/ee/69/img-20180614-220449-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/11/94/06/3e/20171223-150656-largejpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/13/4b/ee/68/img-20180614-220219-largejpg.jpg']"
33,34. Asia Te,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/02/2c/b8/3e/langostinos-en-salsa.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/bd/6f/cc/pato-estilo-cantones.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/9e/6d/2c/rollitos-de-chocolate.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/d8/5c/7e/kubak-de-arroz-tostado.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/d8/5c/7d/pato-asado-con-berenjenas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/bd/6f/bb/fideos-al-curry-con-gambas.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1c/a4/8a/e1/img20210214144243-largejpg.jpg']"
34,35. Don Lay,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-f/1d/85/48/e4/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/1d/85/48/e3/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/ce/11/e8/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/ce/11/e7/photo2jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/56/5c/8c/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1c/68/53/03/photo5jpg.jpg']"
35,36. Megu,Chinese,['https://media-cdn.tripadvisor.com/media/daodao/photo-f/18/b9/f4/96/img-20190807-205533-largejpg.jpg']
36,37. Sabor Sichuan,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/0c/77/ed/68/hot-pot-half-spicy.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0c/77/ed/65/sabor-sichuan.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0d/c6/72/87/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/11/bd/5d/ac/photo0jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/61/2b/fc/caption.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/1a/e1/ca/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/14/1a/e1/c6/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/daodao/photo-f/11/d4/18/a8/caption.jpg']"
37,38. Empanadillas Los Tres Cerditos,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/1b/a0/f0/dc/photo1jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/1b/a0/f0/db/photo0jpg.jpg']"
38,39. Restaurante Dimdim,Chinese,"['https://media-cdn.tripadvisor.com/media/photo-s/0f/08/e0/47/photo3jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/08/e0/49/photo5jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-s/0f/08/e0/48/photo4jpg.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/6d/bb/dc/restaurante-dimdim.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0b/0c/41/a2/bar-restaurante-dimdim.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/6d/bb/dd/restaurante-dimdim.jpg', 'https://media-cdn.tripadvisor.com/media/photo-f/0e/6d/bb/dd/restaurante-dimdim.jpg']"
